day,price
1423,44071.87
1424,42419.51
1425,42946.1
1426,42126.1
1427,40000.2
1428,39679.08
1429,39128.31
1430,41805.98
1431,41860.13
1432,40251.51
1433,39811.99
1434,40668.76
1435,39748.58
1436,39587.18
1437,40658.13
1438,40338.93
1439,39714.79
1440,39475.81
1441,38678.92
1442,38269.61
1443,36525.99
1444,37047.34
1445,36520.5
1446,35265.95
1447,34383.34
1448,34085.9
1449,33643.27
1450,33340.69
1451,33534.52
1452,34059.79
1453,34979.19
1454,33686.85
1455,33010.22
1456,31821.36
1457,31282.13
1458,30461.19
1459,29999.51
1460,30832.81
1461,30265.82
1462,29588.81
1463,30359.16
1464,28948.39
1465,28746.38
1466,30419.34
1467,33081.97
1468,32588.48
1469,32894.91
1470,31898.68
1471,32209.42
1472,32974.39
1473,31130.57
1474,29969.03
1475,30068.15
1476,33582.81
1477,33992.69
1478,34429.69
1479,33601.79
1480,33484.22
1481,32601.65
1482,32542.66
1483,30802.57
1484,29692.62
1485,28478.14
1486,27901.4
1487,27377.11
1488,28261.33
1489,27648.54
1490,27546.42
1491,26976.5
1492,26452.12
1493,26176.9
1494,25929.65
1495,25865.38
1496,24691.49
1497,24336.9
1498,24395.18
1499,24556.97
1500,24740.67
1501,24544.77
1502,24563.35
1503,23867.98
1504,22953.97
1505,22612.05
1506,23052.34
1507,22745.56
1508,22264.17
1509,22736.35
1510,22986.12
1511,22747.31
1512,22284.84
1513,21900.54
1514,21800.25
1515,21731.09
1516,20908.27
1517,20337.81
1518,20703.11
1519,20347.9
1520,20114.3
1521,20080.64
1522,20171.91
1523,19697.85
1524,19697.5
1525,20494.32
1526,19994.63
1527,19043.07
1528,19145.11
1529,19096.14
1530,18957.59
1531,19202.36
1532,21351.88
1533,21113.21
1534,20134.97
1535,21872.33
1536,21077.38
1537,23234.61
1538,24291.6
1539,28505.72
1540,31092.72
1541,26691.34
1542,26583.39
1543,25150.39
1544,25779.34
1545,28372.8
1546,28612.69
1547,30554.66
1548,31245.17
1549,35453.39
1550,35276.11
1551,34641.75
1552,33381.45
1553,32482.65
1554,29625.66
1555,30218.68
1556,32000.83
1557,29835
1558,29563.92
1559,32385.75
1560,33876.1
1561,32482.34
1562,32757.62
1563,30792.21
1564,30045.32
1565,29442.58
1566,27687.01
1567,26959.2
1568,26480.48
1569,26033.58
1570,26262.65
1571,27444.44
1572,27819.64
1573,29493.25
1574,28751.24
1575,29228.87
1576,32105.4
1577,32606.41
1578,32316.98
1579,31331.53
1580,29563.68
1581,27658.09
1582,27135.08
1583,26692.45
1584,26031.76
1585,25879.74
1586,26658.53
1587,26887.7
1588,28131.58
1589,27772.52
1590,26089.57
1591,26409.5
1592,25008.63
1593,24381.49
1594,23458.28
1595,23335.09
1596,23612.76
1597,23599.99
1598,23377.89
1599,22022.17
1600,22276.75
1601,22054.83
1602,22209.65
1603,22221.46
1604,21844.36
1605,21970.02
1606,23769.11
1607,24140.89
1608,24667.35
1609,24344.97
1610,23582.4
1611,23221.65
1612,23945.23
1613,23737.72
1614,23321.02
1615,23934.92
1616,23444.65
1617,23709.64
1618,22266.29
1619,22944.28
1620,22539.58
1621,21168.78
1622,20647.21
1623,19641.97
1624,20224.78
1625,19702.74
1626,19516.6
1627,19098.09
1628,18157.99
1629,18157.66
1630,17804.09
1631,17739.84
1632,17717.35
1633,17247.15
1634,17311.3
1635,17625.44
1636,18173.27
1637,17171.43
1638,17253.38
1639,17230.46
1640,17501.43
1641,17951.57
1642,17587.36
1643,17838.23
1644,16963.05
1645,16754.71
1646,16637.68
1647,15982.52
1648,15581.9
1649,15066.05
1650,14715.09
1651,15158.27
1652,15024.51
1653,14530.48
1654,14891.05
1655,14110.34
1656,13742.95
1657,13197.78
1658,13097.07
1659,13343.81
1660,13595.99
1661,13568.77
1662,13558.77
1663,13472.46
1664,13170.45
1665,12405.7
1666,11626.93
1667,11622.52
1668,11691.22
1669,11747.92
1670,11625.3
1671,11729.27
1672,12427.63
1673,12239.53
1674,12767.42
1675,12487.21
1676,11630.64
1677,11489.97
1678,11107.48
1679,11618.87
1680,11117.19
1681,11840.15
1682,11954.44
1683,12816.91
1684,12170.56
1685,11146.03
1686,10713.78
1687,10454.01
1688,10414.37
1689,10108.45
1690,9914.41
1691,9874.88
1692,10001.91
1693,10112.69
1694,10289.08
1695,10105.49
1696,9941.8
1697,9631.73
1698,9443.45
1699,9443.28
1700,9727.25
1701,9998.65
1702,10050.65
1703,9930.97
1704,9858.73
1705,9712.61
1706,9548.47
1707,9483.75
1708,9306.62
1709,9283.08
1710,9319.84
1711,9311.5
1712,9022.53
1713,8589.78
1714,8530.01
1715,8137.02
